         40509565 function calls (40497793 primitive calls) in 14.418 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    711/1    0.029    0.000   14.419   14.419 {built-in method builtins.exec}
        1    0.000    0.000   14.419   14.419 test_gameoflife_glider.py:8(<module>)
        1    0.000    0.000   13.689   13.689 pyplot.py:236(show)
        1    0.000    0.000   13.689   13.689 backend_bases.py:149(__call__)
        1    0.000    0.000   12.993   12.993 backend_qt5.py:160(mainloop)
        1    0.323    0.323   12.993   12.993 {built-in method exec_}
       19    0.000    0.000   12.554    0.661 animation.py:1552(_draw_frame)
       19    0.002    0.000   12.554    0.661 test_gameoflife_glider.py:32(animate)
       19    8.714    0.459   12.473    0.656 conway.py:47(evolve)
       17    0.000    0.000   11.869    0.698 backend_bases.py:1312(_on_timer)
       17    0.000    0.000   11.869    0.698 animation.py:1281(_step)
       17    0.000    0.000   11.869    0.698 animation.py:1070(_step)
       17    0.000    0.000   11.869    0.698 animation.py:1095(_draw_next_frame)
 39845888    3.118    0.000    3.118    0.000 {method 'item' of 'numpy.ndarray' objects}
   130/19    0.002    0.000    1.395    0.073 artist.py:61(draw_wrapper)
    81/79    0.000    0.000    1.337    0.017 cbook.py:546(process)
       45    0.000    0.000    1.336    0.030 cbook.py:396(__call__)
        2    0.000    0.000    1.329    0.665 animation.py:1534(_init_draw)
        2    0.000    0.000    0.775    0.387 backend_qt5agg.py:192(__draw_idle_agg)
        2    0.000    0.000    0.775    0.387 backend_agg.py:453(draw)
        2    0.000    0.000    0.774    0.387 figure.py:1091(draw)
        1    0.000    0.000    0.696    0.696 backend_qt5.py:548(show)
        1    0.024    0.024    0.696    0.696 {built-in method show}
       19    0.000    0.000    0.689    0.036 image.py:519(draw)
       19    0.031    0.002    0.683    0.036 image.py:761(make_image)
        2    0.000    0.000    0.672    0.336 backend_qt5.py:347(resizeEvent)
        2    0.000    0.000    0.671    0.336 backend_bases.py:1825(resize_event)
        1    0.000    0.000    0.671    0.671 animation.py:1163(_handle_resize)
    676/4    0.004    0.000    0.662    0.166 <frozen importlib._bootstrap>:958(_find_and_load)
    676/4    0.002    0.000    0.662    0.165 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
    580/4    0.002    0.000    0.661    0.165 <frozen importlib._bootstrap>:641(_load_unlocked)
    469/4    0.001    0.000    0.661    0.165 <frozen importlib._bootstrap_external>:672(exec_module)
        2    0.000    0.000    0.658    0.329 backend_bases.py:1815(draw_event)
        1    0.000    0.000    0.658    0.658 animation.py:871(_start)
    843/6    0.000    0.000    0.656    0.109 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
       19    0.326    0.017    0.651    0.034 image.py:275(_make_image)
       19    0.000    0.000    0.642    0.034 animation.py:1118(_post_draw)
       17    0.000    0.000    0.641    0.038 animation.py:1128(_blit_draw)
       19    0.000    0.000    0.641    0.034 signaltools.py:957(convolve2d)
       19    0.640    0.034    0.640    0.034 {built-in method scipy.signal.sigtools._convolve2d}
       17    0.000    0.000    0.621    0.037 _base.py:2432(draw_artist)
   459/26    0.000    0.000    0.492    0.019 {built-in method builtins.__import__}
3049/1066    0.002    0.000    0.410    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
        1    0.000    0.000    0.357    0.357 conway.py:10(<module>)
        1    0.000    0.000    0.261    0.261 __init__.py:292(<module>)
       17    0.000    0.000    0.196    0.012 __init__.py:1(<module>)
        1    0.000    0.000    0.160    0.160 pyplot.py:17(<module>)
  576/447    0.001    0.000    0.153    0.000 <frozen importlib._bootstrap>:553(module_from_spec)
    89/54    0.000    0.000    0.143    0.003 <frozen importlib._bootstrap_external>:919(create_module)
    89/54    0.083    0.001    0.143    0.003 {built-in method _imp.create_dynamic}
      469    0.002    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      4/2    0.000    0.000    0.115    0.057 image.py:120(_draw_list_compositing_images)
        2    0.000    0.000    0.115    0.057 _base.py:2346(draw)
        1    0.000    0.000    0.114    0.114 _peak_finding.py:3(<module>)
        1    0.000    0.000    0.114    0.114 __init__.py:345(<module>)
